Keyword,Expected,Algorithm Accuracy Result,Priority Number,Precision,Recall,Average Precision
pumerdeka,pumerdèka,0.96,1,1.00,1.00,1.00
pumasen,pumasén,0.95,1,1.00,1.00,1.00
pumameh,pumamèh,0.95,1,1.00,1.00,1.00
pumalee,pumalèe,0.95,1,1.00,1.00,1.00
pulot,pulôt,0.91,2,1.00,1.00,1.00
puleh,puléh,0.91,3,1.00,1.00,1.00
pudiom,pudiôm,0.93,1,1.00,1.00,1.00
pucok,pucôk,0.91,1,1.00,1.00,1.00
pubusot,pubusôt,0.95,1,1.00,1.00,1.00
pubeutoi,pubeutôi,0.96,1,1.00,1.00,1.00
pubeusot,pubeusôt,0.96,1,1.00,1.00,1.00
pubeureutoh,pubeureutôh,0.97,1,1.00,1.00,1.00
pubeungeh,pubeungèh,0.96,1,1.00,1.00,1.00
pubangket,pubangkét,0.96,1,1.00,1.00,1.00
pubandeng,pubandéng,0.96,1,1.00,1.00,1.00
proyektor,proyèktor,0.96,1,1.00,1.00,1.00
proteh,protèh,0.93,1,1.00,1.00,1.00
prospektus,prospèktus,0.97,1,1.00,1.00,1.00
presidium,prèsidium,0.94,1,1.00,1.00,1.00
presiden,prèsidèn,0.87,1,1.00,1.00,1.00
preh,prèh,0.87,1,1.00,1.00,1.00
predikat,prèdikat,0.93,1,1.00,1.00,1.00
pre,pré,0.82,4,1.00,1.00,1.00
praho,prahô,0.92,1,1.00,1.00,1.00
potokopi,pôtôkopi,0.85,2,1.00,1.00,1.00
pot-pot,tèt-tot,0.90,1,1.00,1.00,1.00
porselen,porselén,0.96,1,1.00,1.00,1.00
politeknik,politèknik,0.97,1,1.00,1.00,1.00
polem,polém,0.91,1,1.00,1.00,1.00
plok,plôk,0.87,2,1.00,1.00,1.00
planet,planèt,0.93,1,1.00,1.00,1.00
piyoh,piyôh,0.91,1,1.00,1.00,1.00
pipet,pipèt,0.91,4,1.00,1.00,1.00
pinto,pintô,0.92,1,1.00,1.00,1.00
pilem,pilém,0.91,1,1.00,1.00,1.00
pileh,piléh,0.91,1,1.00,1.00,1.00
pikeran,pikéran,0.93,1,1.00,1.00,1.00
pike,piké,0.88,1,1.00,1.00,1.00
picet,picét,0.91,1,1.00,1.00,1.00
phon-phon,phôn-phôn,0.88,1,1.00,1.00,1.00
phon,phôn,0.87,2,1.00,1.00,1.00
phet,phét,0.87,2,1.00,1.00,1.00
peuunyet,peuunyèt,0.96,1,1.00,1.00,1.00
peutundok,peutundôk,0.96,3,1.00,1.00,1.00
peutumpok-tumpok,peutumpôk-tumpôk,0.96,1,1.00,1.00,1.00
peutroh,peutrôh,0.95,1,1.00,1.00,1.00
peutho,peuthô,0.94,1,1.00,1.00,1.00
peuthee,peuthèe,0.95,2,1.00,1.00,1.00
peuteumbon,peuteumbôn,0.97,1,1.00,1.00,1.00
peutakot,peutakôt,0.96,1,1.00,1.00,1.00
peususon,peususôn,0.96,1,1.00,1.00,1.00
peuseupot,peuseupôt,0.96,1,1.00,1.00,1.00
peusambong,peusambông,0.97,1,1.00,1.00,1.00
peurisee,peurisèe,0.96,1,1.00,1.00,1.00
peureute,peureuté,0.96,1,1.00,1.00,1.00
peureuseh,peureuséh,0.96,1,1.00,1.00,1.00
peuraho,peurahô,0.95,4,1.00,1.00,1.00
peunyareng,peunyaréng,0.97,2,1.00,1.00,1.00
pileuh,piléuh,0.92,3,1.00,1.00,1.00
pilehan,piléhan,0.93,1,1.00,1.00,1.00
pijet,pijét,0.91,2,1.00,1.00,1.00
peutron,peutrôn,0.95,1,1.00,1.00,1.00
peuteuntee,peuteuntèe,0.97,1,1.00,1.00,1.00
peutenah,peuténah,0.95,1,1.00,1.00,1.00
peutaot,peutaôt,0.95,2,1.00,1.00,1.00
peutalo,peutalô,0.95,1,1.00,1.00,1.00
peutaklok,peutaklôk,0.96,1,1.00,1.00,1.00
peusare,peusaré,0.95,1,1.00,1.00,1.00
peuroh,peurôh,0.93,2,1.00,1.00,1.00
peurhot,peurhôt,0.95,1,1.00,1.00,1.00
peureusen,peureusèn,0.96,1,1.00,1.00,1.00
peureumen,peureumèn,0.96,1,1.00,1.00,1.00
peureulee,peureulèe,0.96,1,1.00,1.00,1.00
peureudee,peureudèe,0.96,1,1.00,1.00,1.00
peunyunteng,peunyunténg,0.97,1,1.00,1.00,1.00
peunteng,peunténg,0.96,1,1.00,1.00,1.00
peunileh,peuniléh,0.96,1,1.00,1.00,1.00
peungaseh,peungaséh,0.96,1,1.00,1.00,1.00
peuneng,peunténg,0.95,5,1.00,1.00,1.00
peulunco,peuluncô,0.96,1,1.00,1.00,1.00
peulicen,peulicén,0.96,1,1.00,1.00,1.00
peulampong,peulampông,0.97,1,1.00,1.00,1.00
meusilang-saleng,meusilang-saléng,0.98,1,1.00,1.00,1.00
meuseuliseh,meuseuliséh,0.97,1,1.00,1.00,1.00
meusare,meusaré,0.95,1,1.00,1.00,1.00
meusampeng,meusampéng,0.97,1,1.00,1.00,1.00
meusagop,meusagôp,0.96,1,1.00,1.00,1.00
meureuoh,meureuôh,0.96,1,1.00,1.00,1.00
meurdehka,meurdèhka,0.96,1,1.00,1.00,1.00
meuratoh,meuratôh,0.96,1,1.00,1.00,1.00
meuranggong,meuranggông,0.97,1,1.00,1.00,1.00
meurajalela,meurajalèla,0.97,1,1.00,1.00,1.00
meuracon,meuracôn,0.96,2,1.00,1.00,1.00
meupeungaroh,meupeungarôh,0.97,1,1.00,1.00,1.00
peanyaket,peanyakét,0.96,1,1.00,1.00,1.00
peunutoh,peunutôh,0.96,1,1.00,1.00,1.00
peunilek,peunilék,0.96,1,1.00,1.00,1.00
peungikot,peungikôt,0.96,1,1.00,1.00,1.00
peungaroh,peungarôh,0.96,1,1.00,1.00,1.00
peuneuyoh,peuneuyôh,0.96,1,1.00,1.00,1.00
peundukong,peundukông,0.97,1,1.00,1.00,1.00
peunajoh,peunajôh,0.96,2,1.00,1.00,1.00
peulindong,peulindông,0.97,1,1.00,1.00,1.00
peulhok,peulhôk,0.95,1,1.00,1.00,1.00
peuleugot,peuleugôt,0.96,1,1.00,1.00,1.00
peulet,peulagôt,0.95,4,1.00,1.00,1.00
peulaken,peulakén,0.96,2,1.00,1.00,1.00
peulagot,peulagôt,0.96,1,1.00,1.00,1.00
peulabohan,peulabôhan,0.97,1,1.00,1.00,1.00
peulabo,peulabô,0.95,2,1.00,1.00,1.00
peukurong,peukurông,0.96,1,1.00,1.00,1.00
peukupong,peukupông,0.96,1,1.00,1.00,1.00
peukeureuteng,peukeureuténg,0.97,1,1.00,1.00,1.00
peukeundo,peukeundô,0.96,1,1.00,1.00,1.00
peukeumbong,peukeumbông,0.97,2,1.00,1.00,1.00
peukeujot,peukeujôt,0.96,1,1.00,1.00,1.00
peukabeh,peukabèh,0.96,3,1.00,1.00,1.00
peujok,peujôk,0.93,1,1.00,1.00,1.00
peujeuoh,peujeuôh,0.96,1,1.00,1.00,1.00
peujayeh,peujayéh,0.96,1,1.00,1.00,1.00
peugule,peugulé,0.95,1,1.00,1.00,1.00
meuseuke,meuseuké,0.96,3,1.00,1.00,1.00
meusen,meusaéng,0.95,1,1.00,1.00,1.00
meusambong,meusambông,0.97,1,1.00,1.00,1.00
meusaeng,meusampéng,0.97,2,1.00,1.00,1.00
meuraong,meuraông,0.96,4,1.00,1.00,1.00
