Keyword,Expected,Algorithm Accuracy Result,Priority Number,Average Precision,Precision,Recall
prospektus,protèh,0.40,7,1.00,0.10,0.10
presidium,resimèn,0.44,9,1.00,0.10,0.10
presiden,pansiôn,0.50,10,0.00,0.00,0.00
preh,kréh,0.60,10,0.00,0.00,0.00
predikat,prèsidèn,0.50,6,0.00,0.00,0.00
pre,tupée,0.50,10,0.00,0.00,0.00
praho,prèh,0.60,3,0.00,0.00,0.00
potokopi,politèknik,0.45,10,0.00,0.00,0.00
pot-pot,pôtôkopi,0.50,7,0.00,0.00,0.00
porselen,pers'èn,0.50,7,0.00,0.00,0.00
politeknik,politèknik,0.91,1,1.00,0.10,0.10
polem,parlemèn,0.56,10,0.00,0.00,0.00
plok,émlak,0.50,10,0.00,0.00,0.00
planet,peulagôt,0.56,10,0.00,0.00,0.00
piyoh,pupiyôh,0.62,3,0.00,0.00,0.00
pipet,picét,0.67,6,0.00,0.00,0.00
pinto,panté,0.67,4,0.00,0.00,0.00
pilem,hèlem,0.67,7,0.00,0.00,0.00
pileh,piléhan,0.62,10,0.00,0.00,0.00
pikeran,pètran,0.57,7,0.00,0.00,0.00
pike,singkèe,0.50,9,0.00,0.00,0.00
picet,pijét,0.67,4,0.00,0.00,0.00
phon-phon,puphôn,0.44,8,0.00,0.00,0.00
phon,èsèlon,0.50,10,0.00,0.00,0.00
phet,dhôt,0.60,8,0.00,0.00,0.00
peuunyet,meuunyèt,0.78,2,0.00,0.00,0.00
peutundok,peukeundô,0.60,10,1.00,0.10,0.10
peutumpok-tumpok,peutumpôk-tumpôk,0.89,1,0.00,0.00,0.00
peutroh,peurôh,0.71,7,0.00,0.00,0.00
peutho,peuthèe,0.75,2,0.00,0.00,0.00
peuthee,peutalô,0.62,10,0.00,0.00,0.00
peuteumbon,peureumèn,0.70,4,1.00,0.10,0.10
peutakot,peulagôt,0.67,7,0.00,0.00,0.00
peususon,seunusôn,0.67,4,0.00,0.00,0.00
peuseupot,peukeujôt,0.70,7,1.00,0.10,0.10
peusambong,meulambông,0.73,6,1.00,0.10,0.10
peurisee,peurisèe,0.89,1,0.00,0.00,0.00
peureute,pubeureutôh,0.67,10,0.00,0.00,0.00
peureuseh,peureudèe,0.70,10,1.00,0.10,0.10
peuraho,peurôh,0.71,4,0.00,0.00,0.00
peunyareng,peundukông,0.64,8,1.00,0.10,0.10
pileuh,péteunah,0.56,8,0.00,0.00,0.00
pilehan,piléh,0.57,4,0.00,0.00,0.00
pijet,picét,0.67,5,0.00,0.00,0.00
peutron,meutrôn,0.75,6,0.00,0.00,0.00
peuteuntee,peutundôk,0.60,10,1.00,0.10,0.10
peutenah,peuteuntèe,0.64,10,0.00,0.00,0.00
peutaot,meutaôt,0.75,5,0.00,0.00,0.00
peutalo,peutakôt,0.67,9,0.00,0.00,0.00
peutaklok,taklôk,0.56,10,1.00,0.10,0.10
peusare,peugadèe,0.67,10,0.00,0.00,0.00
peuroh,peudéh,0.71,10,0.00,0.00,0.00
peurhot,peutaôt,0.62,6,0.00,0.00,0.00
peureusen,keureukôn,0.70,10,1.00,0.10,0.10
peureumen,peureuséh,0.70,10,1.00,0.10,0.10
peureulee,peureumèn,0.70,6,1.00,0.10,0.10
peureudee,ceureudék,0.70,8,1.00,0.10,0.10
peunyunteng,peunyaréng,0.64,8,1.00,0.10,0.10
peunteng,euntông,0.75,7,0.00,0.00,0.00
peunileh,peunajôh,0.67,7,0.00,0.00,0.00
peungaseh,peunajôh,0.67,7,1.00,0.10,0.10
peuneng,peunténg,0.78,2,0.00,0.00,0.00
peulunco,meuluncô,0.78,2,0.00,0.00,0.00
peulicen,peulindông,0.64,5,0.00,0.00,0.00
peulampong,peuampôn,0.70,10,1.00,0.10,0.10
meusilang-saleng,meuampông-ampông,0.56,6,1.00,0.10,0.10
meuseuliseh,seuliséh,0.64,2,1.00,0.10,0.10
meusare,meusaéng,0.67,10,0.00,0.00,0.00
meusampeng,meusaéng,0.70,9,1.00,0.10,0.10
meusagop,meusaéng,0.67,5,0.00,0.00,0.00
meureuoh,peureuséh,0.70,10,0.00,0.00,0.00
meurdehka,meureuôh,0.56,9,1.00,0.10,0.10
meuratoh,seumatéh,0.67,10,0.00,0.00,0.00
meuranggong,meuraông,0.64,9,1.00,0.10,0.10
meurajalela,meurajalèla,0.92,1,1.00,0.10,0.10
meuracon,meukawén,0.67,8,0.00,0.00,0.00
meupeungaroh,peungaséh,0.58,8,1.00,0.10,0.10
peanyaket,peutakôt,0.56,7,1.00,0.10,0.10
peunutoh,peuniléh,0.67,10,0.00,0.00,0.00
peunilek,ceunulék,0.67,3,0.00,0.00,0.00
peungikot,eungkôt,0.67,8,1.00,0.10,0.10
peungaroh,teunarôh,0.67,6,1.00,0.10,0.10
peuneuyoh,peureuséh,0.70,7,1.00,0.10,0.10
peundukong,peunyaréng,0.64,9,1.00,0.10,0.10
peunajoh,peungarôh,0.70,10,0.00,0.00,0.00
peulindong,peulampông,0.64,10,1.00,0.10,0.10
peulhok,peulabô,0.62,9,0.00,0.00,0.00
peuleugot,peukeujôt,0.70,5,1.00,0.10,0.10
peulet,peuleugôt,0.70,9,1.00,0.10,0.10
peulaken,peulampông,0.64,10,0.00,0.00,0.00
peulagot,seulangkôt,0.64,8,0.00,0.00,0.00
peulabohan,peulabôhan,0.91,1,1.00,0.10,0.10
peulabo,peukabèh,0.67,10,0.00,0.00,0.00
peukurong,seukréng,0.67,10,1.00,0.10,0.10
peukupong,peuhubông,0.70,9,1.00,0.10,0.10
peukeureuteng,pubeureutôh,0.62,9,1.00,0.10,0.10
peukeundo,peukeujôt,0.70,2,1.00,0.10,0.10
peukeumbong,peusambông,0.64,10,1.00,0.20,0.20
peukeujot,teukejôt,0.67,8,1.00,0.10,0.10
peukabeh,peulabôhan,0.64,8,0.00,0.00,0.00
peujok,peuék,0.67,5,0.00,0.00,0.00
peujeuoh,peureuté,0.67,9,0.00,0.00,0.00
peujayeh,peujeuôh,0.67,7,0.00,0.00,0.00
peugule,peutalô,0.62,10,0.00,0.00,0.00
meuseuke,meureuôh,0.67,9,0.00,0.00,0.00
meusen,meusaéng,0.67,10,0.00,0.00,0.00
meusambong,meusaéng,0.70,9,1.00,0.10,0.10
meusaeng,meujaréng,0.70,8,0.00,0.00,0.00
meuraong,meujaréng,0.70,8,0.00,0.00,0.00
meurante,seurabèe,0.67,10,0.00,0.00,0.00
